thread_id,thread_depth,num_nodes,num_edges,avg_branching_factor,max_branching_factor,source_reply_count,leaf_ratio,avg_depth,source_pagerank,avg_pagerank,source_centrality,avg_centrality,user_rumor_ratio,unique_users
498235547685756928,3,14,11,0.785714,9,9,0.857143,1.357143,0.06369429,0.07142857,0.69230769,0.12087912,0.031746,9
498248415223246848,5,27,24,0.888889,17,17,0.777778,1.481481,0.02848567,0.03703704,0.65384615,0.06837607,0.076181,18
498248648699150336,3,56,12,0.214286,2,0,0.821429,0.928571,0.01493103,0.01785714,0.0,0.00779221,0.060965,47
498250100079341568,1,5,4,0.8,4,4,0.8,0.8,0.17094005,0.2,1.0,0.4,0.4,4
498251940997136384,1,8,7,0.875,7,7,0.875,0.875,0.11299419,0.125,1.0,0.25,0.095833,8
498253149707464704,1,3,2,0.666667,2,2,0.666667,0.666667,0.25974051,0.33333333,1.0,0.66666667,0.0,3
498253652755111937,1,9,0,0.0,0,0,1.0,0.111111,0.11111111,0.11111111,0.0,0.0,0.011696,8
498254340310966273,2,43,17,0.395349,5,0,0.744186,0.511628,0.0187401,0.02325581,0.0,0.01882614,0.822233,11
498254540870017025,0,5,0,0.0,0,0,1.0,0.0,0.2,0.2,0.0,0.0,0.024242,5
498254929942028288,3,20,16,0.8,13,13,0.8,0.95,0.04127918,0.05,0.68421053,0.08421053,0.783477,17
498255721260400640,1,4,3,0.75,3,3,0.75,0.75,0.20618575,0.25,1.0,0.5,0.0625,4
498255816034893824,4,28,20,0.714286,9,9,0.678571,1.214286,0.02653562,0.03571429,0.33333333,0.05291005,0.003759,11
498256407980826625,1,14,2,0.142857,1,0,0.857143,0.142857,0.06369429,0.07142857,0.0,0.02197802,0.028571,10
498259432237969408,2,10,9,0.9,8,8,0.8,1.0,0.08481539,0.1,0.88888889,0.2,0.039815,10
498259903962570752,2,16,1,0.0625,1,0,0.9375,1.0,0.05934721,0.0625,0.0,0.00833333,0.130745,13
498262106937237504,1,19,18,0.947368,18,18,0.947368,0.947368,0.05037763,0.05263158,1.0,0.10526316,0.043284,19
498263598062661633,0,10,0,0.0,0,0,1.0,0.0,0.1,0.1,0.0,0.0,0.120526,10
498264107460870144,7,111,58,0.522523,7,0,0.738739,1.720721,0.00683018,0.00900901,0.0,0.00950041,0.008451,18
498264393185239040,2,19,17,0.894737,16,16,0.894737,0.947368,0.04820405,0.05263158,0.88888889,0.0994152,0.0,18
498265095559184384,3,19,11,0.578947,7,7,0.842105,0.842105,0.04561357,0.05263158,0.38888889,0.06432749,0.095614,17
498265555833720832,0,1,0,0.0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1
498267196833808384,3,15,14,0.933333,9,9,0.666667,1.333333,0.04930578,0.06666667,0.64285714,0.13333333,0.0,12
498267673789472768,3,19,18,0.947368,13,13,0.789474,1.263158,0.04295377,0.05263158,0.72222222,0.10526316,0.052005,17
498268463639851008,1,7,6,0.857143,6,6,0.857143,0.857143,0.12738858,0.14285714,1.0,0.28571429,0.017857,7
498269289812856832,1,4,3,0.75,3,3,0.75,0.75,0.20618575,0.25,1.0,0.5,0.0,4
498269365175721984,0,1,0,0.0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1
498269636551798784,0,1,0,0.0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1
