Metric,Value
Number of Events,5
Number of Conversation Threads,5802
Number of Tweets,103212
Number of Source Tweets,5802
Number of Reply Tweets,97410
Number of Users,49345
Number of Rumor Threads,1972 (33.99%)
Number of Non-Rumor Threads,3830 (66.01%)
Rumor Percentage,33.99%
Non-Rumor Percentage,66.01%
Average Thread Size (replies),16.79
Median Thread Size (replies),13
Maximum Thread Size (replies),345
Minimum Thread Size (replies),0
Maximum Conversation Depth,47
Average Conversation Depth,3.03
Average Tweets per User,2.09
Maximum Tweets per User,179
Earliest Tweet Timestamp,2014-08-09 22:33:06
Latest Tweet Timestamp,2015-04-01 20:12:15
Data Coverage Duration (days),234
